======================================================================
训练 Pieper 准则因果IK模型
======================================================================
核心特性:
  1. Attention学习关节对末端位姿的影响权重
  2. 分别对位置和姿态做FiLM调制
  3. GNN学习关节间因果耦合

加载数据集...
加载窗口化数据集: /home/wsy/Desktop/casual/merged_training_data.npz
  样本数: 3541118
  窗口大小: 10
  输入维度（位姿）: 7
  输出维度（角度）: 7
加载窗口化数据集: /home/wsy/Desktop/casual/merged_training_data.npz
  样本数: 3541118
  窗口大小: 10
  输入维度（位姿）: 7
  输出维度（角度）: 7
训练集样本数: 3187006
验证集样本数: 354112
训练集数据增强: False
验证集数据增强: False（始终关闭）

创建模型: pieper_causal_ik
模型参数量: 2.58M

加载GPU FK模型（用于计算末端位姿）...
✓ 成功加载GPU FK模型
  左臂关节 ID: [16, 17, 18, 19, 20, 21, 22]
加载断点...
从第70 epoch继续

开始训练（300 epochs）...
Epoch [115/300] | Train Loss: 0.000010 | Val Loss: 0.000010 | Train R²: 0.999658 | Val R²: 0.999677 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000757 | Time: 46.8s
Epoch [116/300] | Train Loss: 0.000010 | Val Loss: 0.000010 | Train R²: 0.999658 | Val R²: 0.999670 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000747 | Time: 47.1s
Epoch [117/300] | Train Loss: 0.000010 | Val Loss: 0.000010 | Train R²: 0.999658 | Val R²: 0.999671 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000737 | Time: 47.3s
Epoch [118/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999656 | Val R²: 0.999680 | IK: 0.0001 | FK: 0.000004 | GAP: 0.0001 | LR: 0.000727 | Time: 47.1s
Epoch [119/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999657 | Val R²: 0.999683 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000717 | Time: 47.0s
Epoch [120/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999658 | Val R²: 0.999679 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000707 | Time: 47.1s
Epoch [121/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999659 | Val R²: 0.999677 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000697 | Time: 46.9s
Epoch [122/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999657 | Val R²: 0.999684 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000686 | Time: 47.5s
Epoch [123/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999658 | Val R²: 0.999685 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000676 | Time: 47.9s
Epoch [124/300] | Train Loss: 0.000010 | Val Loss: 0.000010 | Train R²: 0.999658 | Val R²: 0.999677 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000665 | Time: 48.0s
Epoch [125/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999659 | Val R²: 0.999680 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000655 | Time: 47.1s
Epoch [126/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999659 | Val R²: 0.999675 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000644 | Time: 47.6s
Epoch [127/300] | Train Loss: 0.000010 | Val Loss: 0.000010 | Train R²: 0.999659 | Val R²: 0.999668 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000633 | Time: 47.7s
Epoch [128/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999660 | Val R²: 0.999674 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000623 | Time: 47.7s
Epoch [129/300] | Train Loss: 0.000010 | Val Loss: 0.000009 | Train R²: 0.999660 | Val R²: 0.999681 | IK: 0.0001 | FK: 0.000003 | GAP: 0.0001 | LR: 0.000612 | Time: 48.2s
